account_name,sector,supplier,value_estimate,total_spend,idox_penetration
"Hull Fibre (Hull, East Yorkshire, England)",Fibre,UNKNOWN,,,0
Humbly Grove Energy,Renewables,UNKNOWN,,,0
Hyperoptic Ltd,Fibre,IDOX,,23803.7,4
"I Need Broadband (Nottingham, England)",Fibre,UNKNOWN,,,0
"iD Mobile (London, England)",Fibre,UNKNOWN,,,0
ID Net,Fibre,UNKNOWN,,,0
"iDNET (Hertfordshire, England)",Fibre,UNKNOWN,,,0
IFA,Energy,UNKNOWN,,,0
IFA2,Energy,UNKNOWN,,,0
INEOS,Energy,UNKNOWN,,,0
INOVYN Enterprises,Energy,UNKNOWN,,,0
"iNTELLECT COMMUNICATIONS (London, England)",Fibre,UNKNOWN,,,0
InterGen,Energy,UNKNOWN,,,0
Internet Central,Fibre,UNKNOWN,,,0
"InternetTY (Stoke-On-Trent, Staffordshire, England)",Fibre,UNKNOWN,,,0
"iTALK (England, East Sussex)",Fibre,UNKNOWN,,,0
"ITSwisp (Norfolk, England)",Fibre,UNKNOWN,,,0
"Jibba Jabba (South Yorkshire, England)",Fibre,UNKNOWN,,,0
"Juice Broadband (Poole, Dorset, England)",Fibre,UNKNOWN,,,0
Jurassic Fibre,Fibre,IDOX,,,0
"Karma Computing (Newcastle Upon Tyne, England)",Fibre,UNKNOWN,,,0
"KCOM (East Riding of Yorkshire, England)",Fibre,LANDMARK,,,0
"Kencomp (Cumbria, England)",Fibre,UNKNOWN,,,0
Kensa Utilities,Water,UNKNOWN,,,0
"Kijoma (West Sussex, England)",Fibre,UNKNOWN,,,0
"Kinetic Telecom (Essex, England)",Fibre,UNKNOWN,,,0
Last Mile,Infrastructure,UNKNOWN,,,0
"Lawyers-Online (Herefordshire, England)",Fibre,UNKNOWN,,,0
LCC Communications,Fibre,UNKNOWN,,,0
"Lebara (London, England)",Fibre,UNKNOWN,,,0
Lee Valley Heat Network Operating Company Limited,Energy,IDOX,,7289.96,4
"Leetline (England, East Sussex, Uckfield)",Fibre,UNKNOWN,,,0
LF Holdco 2 Ltd,Fibre,IDOX,,35888.99,13
"Lightning Fibre (Eastbourne, East Sussex)",Fibre,IDOX,,,0
Lightsource Holdings 2 Ltd,Fibre,IDOX,,13103.23,2
"Lightspeed Broadband (Spalding, Lincolnshire, England)",Fibre,IDOX,,,0
Lightspeed Central Services Ltd,Fibre,IDOX,,9900.0,2
Lightspeed Networks Ltd,Fibre,IDOX,,33842.9,6
"LilaConnect (Surrey, England)",Fibre,OTHER,,,0
Linear Engineering & Construction Ltd,Infrastructure,IDOX,,13728.0,7
"Link Broadband (London, England)",Fibre,UNKNOWN,,,0
Lit Fibre Ltd,Fibre,IDOX,,28411.0,5
"Locheilnet (Scotland , Highlands , Fort William)",Fibre,UNKNOWN,,,0
London Luton Airport Limited,Infrastructure,IDOX,,10817.09,5
"London Web (Hertfordshire, England)",Fibre,UNKNOWN,,,0
"Loop Scorpio (Gloucestershire, England)",Fibre,UNKNOWN,,,0
Lothian Broadband Networks Ltd,Fibre,IDOX,,10380.37,4
Lumen Technologies UK Limited,Fibre,IDOX,,45547.95,8
"Lycamobile (London, England)",Fibre,UNKNOWN,,,0
M Group Telecom (Mobile Network Solutions) Limited,Fibre,IDOX,,10631.32,4
Mainline Pipelines,Fibre,UNKNOWN,,,0
Manchester Jetline,Infrastructure,UNKNOWN,,,0
Manx Utilities,Water,UNKNOWN,,,0
Marchwood Power,Energy,UNKNOWN,,,0
"Marykirk (Marykirk, Aberdeenshire, Scotland)",Fibre,UNKNOWN,,,0
Mayer Brown Limited,Infrastructure,IDOX,,9429.48,2
Melbourn Solar Limited,Renewables,UNKNOWN,,,0
Millbrook Power,Energy,UNKNOWN,,,0
Moray East Windfarm,Renewables,UNKNOWN,,,0
Morven Offshore Wind Limited,Renewables,IDOX,,7262.38,3
MS3 Networks Limited,Fibre,IDOX,,18010.0,6
"MTH Networks (Northamptonshire, Kettering, England)",Fibre,UNKNOWN,,,0
MUA Group,Infrastructure,UNKNOWN,,,0
Muirhall Energy Ltd,Energy,IDOX,,24239.61,6
"Multidata (England, Wiltshire, Swindon)",Fibre,UNKNOWN,,,0
"N3 (Bassetlaw, Nottinghamshire, England)",Fibre,UNKNOWN,,,0
National Gas Transmission - OS Migration,Energy,OTHER,149043.0,,0
National Grid Electricity Transmission - OS Migration,Energy,OTHER,167481.0,,0
Natural Power Consultants Ltd,Renewables,IDOX,,36234.74,9
Nemo Link,Fibre,UNKNOWN,,,0
Neos Networks Limited,Fibre,IDOX,,208589.6,25
NNB Generation Company (HPC) Limited,Energy,IDOX,,22305.0,5
"No One (East Sussex, England)",Fibre,UNKNOWN,,,0
Norfolk Vanguard Limited,Renewables,IDOX,,8823.61,4
North Sea Link,Renewables,UNKNOWN,,,0
Northern Gas Networks - OS Migration,Energy,OTHER,403552.0,,0
Northumbrian Water - OS Migration,Water,OTHER,381003.0,,0
"NotSpot (Elkstone, Derbyshire, England)",Fibre,UNKNOWN,,,0
"NOW (Greater London, England)",Fibre,UNKNOWN,,,0
Npower,Energy,UNKNOWN,,,0
NTT Global,Fibre,UNKNOWN,,,0
NWG,Water,UNKNOWN,,,0
NYnet,Fibre,UNKNOWN,,,0
"O2 (Berkshire, England)",Fibre,UNKNOWN,,,0
Ocean Winds UK Limited,Renewables,IDOX,,8794.19,4
"Octaplus (Hull, East Yorkshire, England)",Fibre,UNKNOWN,,,0
Octopus Energy ,Energy,UNKNOWN,,,0
Offshore Wind Power Ltd,Renewables,IDOX,,7036.65,3
Ogi,Fibre,IDOX,,,0
"Ogi (Monmouthshire, Wales)",Fibre,IDOX,,,0
OIKOS,Water,UNKNOWN,,,0
"Onebill (London, England)",Fibre,UNKNOWN,,,0
"Onestream (Fareham, Portsmouth, Hampshire, England)",Fibre,UNKNOWN,,,0
